name,lat,lng,likes,ratings,photos
La Asuncion Mexican Restaurant,34.2286613,-118.4670773,2,,1
Carnitas Michoacan,34.2218574,-118.4607009,3,,4
Mariscos Guadalajara,34.2217377,-118.4662359,1,,2
Luminarias Restaurant,34.0605129,-118.1619125,63,7.6,101
El zarape Melrose,34.0837245,-118.305484,0,,2
Tlayuda L.A. Restaurant,34.0906411,-118.3079777,41,8.8,35
Sol Bee,34.2276155,-118.5269251,0,,1
Corkys Restaurant & Bar,34.162409,-118.448917,27,6.0,66
La Fogata Mexican Restaurant & Catering,34.1641111,-118.4484823,75,8.5,61
Deli Mex,34.1645724,-118.4478628,5,7.5,6
Tacos Mexico,34.2004605,-118.4484457,8,5.9,15
Socorro's Restaurant,34.201392,-118.457035,1,,3
El Pollo Sonora,34.1936123,-118.4499331,0,,0
Birrieria Lupita 2,34.1982537,-118.4478792,2,,2
La Carreta Salvadorian Food,34.2031386,-118.4490983,0,,1
La Barca,34.0339199,-118.2913624,100,8.6,124
23rd Street Cafe Indian Restaurant,34.0336452,-118.2810061,21,6.3,26
Tacos El Unico ADAMS,34.0329948,-118.2912419,41,8.5,17
Tacos Guadalajara,34.0034167,-118.2400056,0,,3
El Pollo Loco,34.2946274,-118.4169264,10,6.9,11
Taco Bell,34.2939056,-118.4161505,6,5.1,9
Señor Fish,34.1327712,-118.2163259,91,8.3,93
Chipotle Mexican Grill,34.138361,-118.2147186,15,7.3,22
La Fuente Restaurante Bar & Grill,34.1389189,-118.2156096,10,6.2,27
Tortas Ahogadas Las Originales,34.2793911,-118.4546831,1,,0
Carnitas Michoacán,34.2742793,-118.4491724,2,,2
Taco Boy,33.9771594,-118.1758296,0,,3
Hot Chile Mexican Food,34.2717106,-118.5026759,4,6.9,6
Poquito Mas,34.2380481,-118.5715455,40,8.3,31
El Pollo Loco,33.9161121,-118.2646993,17,7.3,18
Chela's Mexican Food,34.2362493,-118.3909561,1,,0
Mariscos El Viejito,34.237723,-118.3928732,3,,4
Huaraches & Quesadillas Chayito,34.232405,-118.3879892,0,,2
