,Unnamed: 0,asian,black,hispanic,indian,multi,white,population,income,traffic,french,steak,breakfast_brunch,sandwiches,salad,wraps,newamerican,mexican,pizza,waffles,chickenshop,burgers,buffets,landmarks,seafood,soup,desserts,cocktailbars,tradamerican,bars,wine_bars,southern,cost,irish,pubs,delis,chocolate,candy,chinese,sushi,icecream,foodstands,hotdog,hotdogs,danceclubs,gastropubs,sportsbars,vegetarian,italian,giftshops,hotels,resorts,casinos,bakeries,coffee,streetvendors
0,-1.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,4.694855340334424,4.694855340334424,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
1,-1.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,-3.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,2.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
2,-1.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,4.694855340334424,4.694855340334424,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
3,-1.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,-3.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,2.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
4,-1.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,-4.427445395176854,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,-2.DELETED_CREDIT_CARD,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,2.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
5,-0.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,4.694855340334424,4.694855340334424,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
6,-0.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,-1.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,2.DELETED_CREDIT_CARD,2.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
7,-0.DELETED_CREDIT_CARD,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,-1.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,3.246793289796359,4.694855340334424,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
8,-0.DELETED_CREDIT_CARD3,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD6,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD3,,,,,-0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,,0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,4.694855340334424,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
9,-0.DELETED_CREDIT_CARD3,,,-0.DELETED_CREDIT_CARD,,,0.DELETED_CREDIT_CARD,,,,,-0.DELETED_CREDIT_CARD,-1.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD,0.DELETED_CREDIT_CARD7,,0.DELETED_CREDIT_CARD6,,,,,2.DELETED_CREDIT_CARD,,,-2.DELETED_CREDIT_CARD,,,,,3.246793289796359,-3.246793289796359,,-1.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD7,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD8,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD,-0.DELETED_CREDIT_CARD
