,0,1
0,34.159882924,-118.36044382
1,34.172556008,-118.452763444
2,34.185229092,-118.627144956
3,34.21057526,-118.401474764
4,33.995132831999996,-118.278381932
5,34.071171336,-118.380959292
6,34.08384442,-118.575856276
7,33.741671151999995,-118.555340804
8,33.767017319999994,-118.20657778
9,34.159882924,-118.452763444
10,34.172556008,-118.36044382
11,34.21057526,-118.4117325
12,33.995132831999996,-118.534825332
13,34.058498252,-118.524567596
14,34.08384442,-118.586114012
15,34.109190588,-118.237350988
16,33.868401991999995,-118.216835516
17,33.881075075999995,-118.473278916
18,33.843055824,-118.237350988
19,33.728998067999996,-118.473278916
20,34.223248344,-118.350186084
21,34.235921428,-118.319412876
22,34.248594512,-118.575856276
23,34.273940679999995,-118.227093252
24,33.969786664,-118.401474764
25,34.033152084,-118.637402692
26,34.045825168,-118.380959292
27,34.08384442,-118.596371748
28,34.096517504,-118.339928348
29,33.855728907999996,-118.483536652
30,33.767017319999994,-118.432247972
31,34.299286848,-118.380959292
32,34.197902176,-118.278381932
33,34.223248344,-118.175804572
34,34.235921428,-118.329670612
35,34.248594512,-118.401474764
36,33.931767412,-118.278381932
37,33.95711358,-118.175804572
38,33.969786664,-118.575856276
39,33.982459748,-118.56559854
40,34.261267595999996,-118.555340804
41,34.273940679999995,-118.298897404
42,34.045825168,-118.165546836
43,34.058498252,-118.504052124
44,34.096517504,-118.61688722
45,34.134536755999996,-118.237350988
46,33.868401991999995,-118.319412876
47,33.881075075999995,-118.493794388
48,34.324633016,-118.61688722
49,34.007805915999995,-118.319412876
50,34.020478999999995,-118.575856276
51,34.020478999999995,-118.247608724
52,34.007805915999995,-118.56559854
53,34.007805915999995,-118.524567596
54,34.007805915999995,-118.647660428
55,34.007805915999995,-118.606629484
56,34.007805915999995,-118.36044382
57,34.020478999999995,-118.370701556
58,34.007805915999995,-118.401474764
59,34.197902176,-118.596371748
60,34.223248344,-118.452763444
61,34.235921428,-118.545083068
62,34.248594512,-118.227093252
63,33.931767412,-118.596371748
